content_id,baseline_score,reason_code,action_label
content_cf56e2e2e282,4,STALE_VISIBLE,Refresh Content
content_fe16a55cd13d,4,STALE_VISIBLE,Refresh Content
content_c2d929d83eaa,4,STALE_VISIBLE,Refresh Content
content_b16bd7307b39,4,STALE_VISIBLE,Refresh Content
content_1bfaa38ff26c,4,STALE_VISIBLE,Refresh Content
content_7368877ea310,4,STALE_VISIBLE,Refresh Content
content_ecb6215e79fd,4,STALE_VISIBLE,Refresh Content
content_0a91db491d14,4,STALE_VISIBLE,Refresh Content
content_e444c00065bd,3,STALE,Refresh Content
content_026a1e2a82fd,3,STALE,Refresh Content
content_b8366b9ef4e8,3,STALE,Refresh Content
content_adfc46f3f033,3,STALE,Refresh Content
content_b81e0f46cea9,3,STALE,Refresh Content
content_7a888d3d99c8,3,STALE,Refresh Content
content_3ecbb0944cbf,3,STALE,Refresh Content
content_928af3e22c80,3,STALE,Refresh Content
content_6476d1d8c050,3,STALE,Refresh Content
content_bbca724138f2,3,STALE,Refresh Content
content_ccfb4d0227b1,3,STALE,Refresh Content
content_d5fe8e70ce86,3,STALE,Refresh Content
content_b2b2d6b54dda,3,STALE,Refresh Content
content_bdbec75c1148,3,STALE,Refresh Content
content_ab18b5811c02,3,STALE,Refresh Content
content_6226ee6adc91,3,STALE,Refresh Content
content_149c671a2a91,3,STALE,Refresh Content
content_fc8cb7532683,3,STALE,Refresh Content
content_8d56efff1e71,3,STALE,Refresh Content
content_57d8360dee59,3,STALE,Refresh Content
content_129753e3095f,3,STALE,Refresh Content
content_dd413158df3c,3,STALE,Refresh Content
content_1a4ae9dc2f72,3,STALE,Refresh Content
content_2e2a634851a0,3,STALE,Refresh Content
content_d25a099b3726,3,STALE,Refresh Content
content_e85da8862cb1,3,STALE,Refresh Content
content_77d4d5930e5e,3,STALE,Refresh Content
content_84f8758f3d3e,3,STALE,Refresh Content
content_607ea6e3f876,3,STALE,Refresh Content
content_b6e4581523ed,3,STALE,Refresh Content
content_94991fe6268c,3,STALE,Refresh Content
content_074ba6ead17b,3,STALE,Refresh Content
content_fb61eb17f982,3,STALE,Refresh Content
content_f6fdf87348f6,3,STALE,Refresh Content
content_4f241bad48a3,3,STALE,Refresh Content
content_9106162c6861,3,STALE,Refresh Content
content_1d10143d4e52,3,STALE,Refresh Content
content_c0b25b7dbe03,3,STALE,Refresh Content
content_5feee3994adb,3,STALE,Refresh Content
content_691fc6b910e6,3,STALE,Refresh Content
content_0173fb0dc986,3,STALE,Refresh Content
content_15fe075b97bc,3,STALE,Refresh Content
content_11da248ff221,3,STALE,Refresh Content
content_56d7248c0b43,3,STALE,Refresh Content
content_d9794795cafc,3,STALE,Refresh Content
content_afd26a07382d,3,STALE,Refresh Content
content_8681df5f99f0,3,STALE,Refresh Content
content_b65fe2792b44,3,STALE,Refresh Content
content_d34c89fad803,3,STALE,Refresh Content
content_f2b4acf220d9,3,STALE,Refresh Content
content_3a93f78aa0a5,3,STALE,Refresh Content
content_bfa3d6688324,3,STALE,Refresh Content
content_d661e9eee4b6,3,STALE,Refresh Content
content_d3746a58bb1d,3,STALE,Refresh Content
content_a34d943a132c,3,STALE,Refresh Content
content_c09e49e87ab2,2,LOW_POSITION,Refresh Content
content_e8ee489ad4fd,2,LOW_POSITION,Refresh Content
content_73e9af70b801,2,LOW_POSITION,Refresh Content
content_7b6f1a0642d2,2,LOW_POSITION,Refresh Content
content_cdff81887d7e,2,LOW_POSITION,Refresh Content
content_2cb87e388022,2,LOW_POSITION,Refresh Content
content_11cc6f77700f,2,LOW_POSITION,Refresh Content
content_3e30eb59a719,2,LOW_POSITION,Refresh Content
content_8533943e74d3,2,LOW_POSITION,Refresh Content
content_baffc5401eda,2,LOW_POSITION,Refresh Content
content_d59d6a33a9fa,2,LOW_POSITION,Refresh Content
content_e1a124b41078,2,LOW_POSITION,Refresh Content
content_818231d04d9e,2,LOW_POSITION,Refresh Content
content_e40fb14ef126,2,LOW_POSITION,Refresh Content
content_a690649561ca,2,LOW_POSITION,Refresh Content
content_e8729b6fec38,2,LOW_POSITION,Refresh Content
content_e6642d0fa24d,2,LOW_POSITION,Refresh Content
content_4582c825860e,2,LOW_POSITION,Refresh Content
content_0d3e14099b13,2,LOW_POSITION,Refresh Content
content_df71843dcd17,2,LOW_POSITION,Refresh Content
content_a196825549ec,2,LOW_POSITION,Refresh Content
content_b2a55148cc44,2,LOW_POSITION,Refresh Content
content_2de13d144b29,2,LOW_POSITION,Refresh Content
content_bc18d49d8f6b,2,LOW_POSITION,Refresh Content
content_bb98921063e3,2,LOW_POSITION,Refresh Content
content_219e8b25fcb1,2,LOW_POSITION,Refresh Content
content_ed73cc77ea29,2,LOW_POSITION,Refresh Content
content_9ec8d1d51909,2,LOW_POSITION,Refresh Content
content_35a103950d69,2,LOW_POSITION,Refresh Content
content_4e88ccad5f50,2,LOW_POSITION,Refresh Content
content_fcc4d5bd69d4,2,LOW_POSITION,Refresh Content
content_75409fb4fcc0,2,LOW_POSITION,Refresh Content
content_b4c32cbc78f6,2,LOW_POSITION,Refresh Content
content_5c1312e501d5,2,LOW_POSITION,Refresh Content
content_82f523ddc57e,2,LOW_POSITION,Refresh Content
content_3fe9924209db,2,LOW_POSITION,Refresh Content
content_d28d84af56c2,2,STALE,Refresh Content
content_bfb389965d19,2,LOW_POSITION,Refresh Content
content_655e0433ba5e,2,LOW_POSITION,Refresh Content
content_5d13b9b3c160,2,LOW_POSITION,Refresh Content
content_8ed11d98ed15,2,LOW_POSITION,Refresh Content
content_769a421d4a73,2,LOW_POSITION,Refresh Content
content_ae973d24c119,2,LOW_POSITION,Refresh Content
content_3716b51232b7,2,LOW_POSITION,Refresh Content
content_35efde3699d6,2,LOW_POSITION,Refresh Content
content_59a2500a29e0,2,LOW_POSITION,Refresh Content
content_ae5ea17118be,2,LOW_POSITION,Refresh Content
content_a5335059c4ab,2,LOW_POSITION,Refresh Content
content_08eb507fdfc2,2,LOW_POSITION,Refresh Content
content_70b8f5323e29,2,LOW_POSITION,Refresh Content
content_32c2aace9ea3,2,LOW_POSITION,Refresh Content
content_a192435b13b6,2,LOW_POSITION,Refresh Content
content_580d98a707e0,2,LOW_POSITION,Refresh Content
content_5262fa59b6bc,2,STALE,Refresh Content
content_4f853dfdedda,2,LOW_POSITION,Refresh Content
content_d4c2ea3c5f63,2,LOW_POSITION,Refresh Content
content_e5467915ed04,2,LOW_POSITION,Refresh Content
content_4c8b45f3b4f0,2,LOW_POSITION,Refresh Content
content_182b0dea8f3f,2,LOW_POSITION,Refresh Content
content_f7818f7ce53f,2,LOW_POSITION,Refresh Content
content_452320173d83,2,LOW_POSITION,Refresh Content
content_454ad2864776,2,LOW_POSITION,Refresh Content
content_a169d1caf094,2,LOW_POSITION,Refresh Content
content_2561fb8fdb3f,2,LOW_POSITION,Refresh Content
content_ebad357779bb,2,LOW_POSITION,Refresh Content
content_7bf8234a1b2d,2,LOW_POSITION,Refresh Content
content_c2d93e0c1e52,2,LOW_POSITION,Refresh Content
content_53943acd76b2,2,LOW_POSITION,Refresh Content
content_d61056bd705a,2,LOW_POSITION,Refresh Content
content_fa014137b3ea,2,LOW_POSITION,Refresh Content
content_c154f41b0608,2,LOW_POSITION,Refresh Content
content_a8c85e78c7c1,2,LOW_POSITION,Refresh Content
content_d44e0056bb95,2,LOW_POSITION,Refresh Content
content_62e5bbe809b1,2,LOW_POSITION,Refresh Content
content_fbe29bbd5001,2,LOW_POSITION,Refresh Content
content_0fc75c6064b3,2,LOW_POSITION,Refresh Content
content_acaea2855083,2,LOW_POSITION,Refresh Content
content_be97fc92977b,2,LOW_POSITION,Refresh Content
content_690579420124,2,LOW_POSITION,Refresh Content
content_34deeb3a92b9,2,LOW_POSITION,Refresh Content
content_c1ec950188c8,2,LOW_POSITION,Refresh Content
content_e2181e471a9c,2,STALE,Refresh Content
content_cff4f909408f,2,LOW_POSITION,Refresh Content
content_fcf98763320e,2,LOW_POSITION,Refresh Content
content_fab127eeb3e2,2,LOW_POSITION,Refresh Content
content_899b770864ac,2,LOW_POSITION,Refresh Content
content_bd4e369f14e9,2,LOW_POSITION,Refresh Content
content_2f10edf406c3,2,LOW_POSITION,Refresh Content
content_8fb3cacf624f,2,LOW_POSITION,Refresh Content
content_57adfe752365,2,LOW_POSITION,Refresh Content
content_38e6ba2b2d9a,2,LOW_POSITION,Refresh Content
content_00c444e468ab,2,LOW_POSITION,Refresh Content
content_0ff00aff22eb,2,LOW_POSITION,Refresh Content
content_27bc304e8ef8,2,LOW_POSITION,Refresh Content
content_8ce358b7eb35,2,LOW_POSITION,Refresh Content
content_40c50ec4c06e,2,LOW_POSITION,Refresh Content
content_59e9745c7768,2,LOW_POSITION,Refresh Content
content_7d4781134948,2,LOW_POSITION,Refresh Content
content_933d274de691,2,LOW_POSITION,Refresh Content
content_ee43ec7cc83b,2,LOW_POSITION,Refresh Content
content_f58e588951ba,2,LOW_POSITION,Refresh Content
content_5ecb89199ba2,2,LOW_POSITION,Refresh Content
content_d636f1cf9880,2,LOW_POSITION,Refresh Content
content_ebbed02286c3,2,LOW_POSITION,Refresh Content
content_0ddb2a698f66,2,LOW_POSITION,Refresh Content
content_f328bedb0e9c,2,LOW_POSITION,Refresh Content
content_116e8930d901,2,LOW_POSITION,Refresh Content
content_d7b7c2af4e20,2,LOW_POSITION,Refresh Content
content_b5d1fbc91005,2,LOW_POSITION,Refresh Content
content_d643674bfdca,2,LOW_POSITION,Refresh Content
content_257778faab56,2,LOW_POSITION,Refresh Content
content_cf6c0275304e,2,LOW_POSITION,Refresh Content
